ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,PORegion,POPostalCode,POCountry,InvoiceNumber,Reference,InvoiceDate,DueDate,Total,InventoryItemCode,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
Advocate Stephen Crane,Nicola@cranelaw.je,Crane Law ,24 Sand Street,,,Saint Helier,JE2 3QF,Jersey,Invoice no: 1612,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Advocate Stephen Crane,Nicola@cranelaw.je,Crane Law ,24 Sand Street,,,Saint Helier,JE2 3QF,Jersey,Invoice no: 1612,,2/3/2018,1/4/2018,,,Call charges,1,47.6,47.6,68.6,5% (VAT on Income),2.38,3.43,72.03,,,,
Acorn Finance,nicky@acorn.je,Windward House,La Route de la Liberation,,,Saint Helier,JE2 3BQ,Jersey,Invoice no: 1613,,2/3/2018,1/4/2018,,Sip,SIP Line,6,7,42,,5% (VAT on Income),2.1,,,,,,
Acorn Finance,nicky@acorn.je,Windward House,La Route de la Liberation,,,Saint Helier,JE2 3BQ,Jersey,Invoice no: 1613,,2/3/2018,1/4/2018,,,Call charges,1,44.48,44.48,86.48,5% (VAT on Income),2.22,4.32,90.8,,,,
Beauport Enterprises Ltd,sean@beauportpartners.com,3rd Floor 13 Broad Street,,,,St Helier, JE2 3RR,Jersey,Invoice no: 1614,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Beauport Enterprises Ltd,sean@beauportpartners.com,3rd Floor 13 Broad Street,,,,St Helier, JE2 3RR,Jersey,Invoice no: 1614,,2/3/2018,1/4/2018,,,Call charges,1,23.76,23.76,37.76,5% (VAT on Income),1.19,1.89,39.65,,,,
Alex Picot Trust,david.picot2@alexpicot.com,95/97 Halkett Place,,,,St. Helier,JE 11BX,Jersey,Invoice no: 1615,,2/3/2018,1/4/2018,,Sip,SIP Line,6,7,42,,Exempt Income,0,,,,,,
Alex Picot Trust,david.picot2@alexpicot.com,95/97 Halkett Place,,,,St. Helier,JE 11BX,Jersey,Invoice no: 1615,,2/3/2018,1/4/2018,,,Call charges,1,35.53,35.53,77.53,Exempt Income,0,0,77.53,,,,
Choice Properties,christine@choicejersey.com,Unit 1 ,Maison Victor Hugo,Greve D'azette,,St. Clement,JE2 6PW,Jersey,Invoice no: 1616,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Choice Properties,christine@choicejersey.com,Unit 1 ,Maison Victor Hugo,Greve D'azette,,St. Clement,JE2 6PW,Jersey,Invoice no: 1616,,2/3/2018,1/4/2018,,,Call charges,1,33.85,33.85,47.85,5% (VAT on Income),1.69,2.39,50.24,,,,
AS Airline Services Ltd t/a,robert.wickings@ba.com,British Airways House,24 Sand Street,,,St Helier,JE2 3QF,Jersey,Invoice no: 1617,,2/3/2018,1/4/2018,,Sip,SIP Line,4,7,28,,5% (VAT on Income),1.4,,,,,,
AS Airline Services Ltd t/a,robert.wickings@ba.com,British Airways House,24 Sand Street,,,St Helier,JE2 3QF,Jersey,Invoice no: 1617,,2/3/2018,1/4/2018,,Sip,SIP Line,4,7,28,,5% (VAT on Income),1.4,,,,,,
AS Airline Services Ltd t/a,robert.wickings@ba.com,British Airways House,24 Sand Street,,,St Helier,JE2 3QF,Jersey,Invoice no: 1617,,2/3/2018,1/4/2018,,,Call charges,1,36.85,36.85,,5% (VAT on Income),1.84,,,,,,
AS Airline Services Ltd t/a,robert.wickings@ba.com,British Airways House,24 Sand Street,,,St Helier,JE2 3QF,Jersey,Invoice no: 1617,,2/3/2018,1/4/2018,,,Call charges,1,142.8,142.8,,5% (VAT on Income),7.14,,,,,,
AS Airline Services Ltd t/a,robert.wickings@ba.com,British Airways House,24 Sand Street,,,St Helier,JE2 3QF,Jersey,Invoice no: 1617,,2/3/2018,1/4/2018,,,Call charges,1,11.34,11.34,246.99,5% (VAT on Income),0.57,12.35,259.34,,,,
Alex Picot,carole.stockill@alexpicot.com,95/97 Halkett Place,,,,Saint Helier,JE1 1BX,Jersey,Invoice no: 1618,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Alex Picot,carole.stockill@alexpicot.com,95/97 Halkett Place,,,,Saint Helier,JE1 1BX,Jersey,Invoice no: 1618,,2/3/2018,1/4/2018,,,Call charges,1,24.38,24.38,45.38,5% (VAT on Income),1.22,2.27,47.65,,,,
Serco (Jersey) Limited,Faye.Camp@serco.com,AquaSplash,The Waterfront Centre,,,St Helier,JE2 4HE,Jersey,Invoice no: 1619,,2/3/2018,1/4/2018,,HRS,Hosted Rental Serco,1,75,75,,5% (VAT on Income),3.75,,,,,,
Serco (Jersey) Limited,Faye.Camp@serco.com,AquaSplash,The Waterfront Centre,,,St Helier,JE2 4HE,Jersey,Invoice no: 1619,,2/3/2018,1/4/2018,,Sip,SIP Line,4,7,28,,5% (VAT on Income),1.4,,,,,,
Serco (Jersey) Limited,Faye.Camp@serco.com,AquaSplash,The Waterfront Centre,,,St Helier,JE2 4HE,Jersey,Invoice no: 1619,,2/3/2018,1/4/2018,,,Call charges,1,20.92,20.92,123.92,5% (VAT on Income),1.05,6.2,130.12,,,,
Edmundson Electrical Ltd,accounts.123@eel.co.uk,La Rue Phillipe Durrell,La Collette,,,Saint Helier,JE2 3NX,Jersey,Invoice no: 1620,,2/3/2018,1/4/2018,,Sip,SIP Line,3,7,21,,5% (VAT on Income),1.05,,,,,,
Edmundson Electrical Ltd,accounts.123@eel.co.uk,La Rue Phillipe Durrell,La Collette,,,Saint Helier,JE2 3NX,Jersey,Invoice no: 1620,,2/3/2018,1/4/2018,,,Call charges,1,35.56,35.56,56.56,5% (VAT on Income),1.78,2.83,59.39,,,,
Lysaght & Company Limited,accounts@lysaght.co.uk,PO BOX 49,Crown House,18 Grenville Stree,,St. Helier,JE4 5NB,Jersey,Invoice no: 1621,,2/3/2018,1/4/2018,,Sip,SIP Line,6,7,42,,Exempt Income,0,,,,,,
Lysaght & Company Limited,accounts@lysaght.co.uk,PO BOX 49,Crown House,18 Grenville Stree,,St. Helier,JE4 5NB,Jersey,Invoice no: 1621,,2/3/2018,1/4/2018,,,Call charges,1,19.09,19.09,61.09,Exempt Income,0,0,61.09,,,,
Reid's Pharmacy Ltd,alasdairjreid@hotmail.com,76 New Street,,,,Saint Helier,JE2 3TE,Jersey,Invoice no: 1622,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Reid's Pharmacy Ltd,alasdairjreid@hotmail.com,76 New Street,,,,Saint Helier,JE2 3TE,Jersey,Invoice no: 1622,,2/3/2018,1/4/2018,,,Call charges,1,12.53,12.53,,5% (VAT on Income),0.63,,,,,,
Reid's Pharmacy Ltd,alasdairjreid@hotmail.com,76 New Street,,,,Saint Helier,JE2 3TE,Jersey,Invoice no: 1622,,2/3/2018,1/4/2018,,,Call charges,1,9.87,9.87,36.4,5% (VAT on Income),0.49,1.82,38.22,,,,
Electrical Supplies & Machinery,James.Haydn@esm.co.je,ESM Building,La Route De St Aubin,,,Saint Helier,JE2 3SH,Jersey,Invoice no: 1623,,2/3/2018,1/4/2018,,Sip,SIP Line,4,7,28,,5% (VAT on Income),1.4,,,,,,
Electrical Supplies & Machinery,James.Haydn@esm.co.je,ESM Building,La Route De St Aubin,,,Saint Helier,JE2 3SH,Jersey,Invoice no: 1623,,2/3/2018,1/4/2018,,,Call charges,1,84.41,84.41,112.41,5% (VAT on Income),4.22,5.62,118.03,,,,
The Jersey Mutual Insurance Society,SRice@jerseymutual.com,74 Halkett Place,,,,Saint Helier,JE1 1BT,Jersey,Invoice no: 1624,,2/3/2018,1/4/2018,,Sip,SIP Line,6,7,42,,5% (VAT on Income),2.1,,,,,,
The Jersey Mutual Insurance Society,SRice@jerseymutual.com,74 Halkett Place,,,,Saint Helier,JE1 1BT,Jersey,Invoice no: 1624,,2/3/2018,1/4/2018,,,Call charges,1,33.53,33.53,75.53,5% (VAT on Income),1.68,3.78,79.31,,,,
MANSELL The Collection,dani@themansellcollection.co.uk,Mansell ,St Aubin's Rd,,,Saint Helier, JE2 3SD,Jersey,Invoice no: 1625,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
MANSELL The Collection,dani@themansellcollection.co.uk,Mansell ,St Aubin's Rd,,,Saint Helier, JE2 3SD,Jersey,Invoice no: 1625,,2/3/2018,1/4/2018,,,Call charges,1,88.01,88.01,102.01,5% (VAT on Income),4.4,5.1,107.11,,,,
Le Gallais & Luce,accounts@lgl.je,PO Box 696,No 6 Hill Street,,,Saint Helier,JE4 8YX,Jersey,Invoice no: 1626,,2/3/2018,1/4/2018,,Sip,SIP Line,6,7,42,,5% (VAT on Income),2.1,,,,,,
Le Gallais & Luce,accounts@lgl.je,PO Box 696,No 6 Hill Street,,,Saint Helier,JE4 8YX,Jersey,Invoice no: 1626,,2/3/2018,1/4/2018,,,Call charges,1,138.91,138.91,180.91,5% (VAT on Income),6.95,9.05,189.96,,,,
JMEC Ltd Electrical Contractors,renovations@jmecltd.com,First Floor Suite,7 Bath Street,,,Saint Helier,JE2 4ST,Jersey,Invoice no: 1627,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
JMEC Ltd Electrical Contractors,renovations@jmecltd.com,First Floor Suite,7 Bath Street,,,Saint Helier,JE2 4ST,Jersey,Invoice no: 1627,,2/3/2018,1/4/2018,,,Call charges,1,36.59,36.59,50.59,5% (VAT on Income),1.83,2.53,53.12,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,Sip,SIP Line,10,7,70,,5% (VAT on Income),3.5,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,97.77,97.77,,5% (VAT on Income),4.89,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,6.65,6.65,,5% (VAT on Income),0.33,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,3.69,3.69,,5% (VAT on Income),0.18,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,7.73,7.73,,5% (VAT on Income),0.39,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,15.49,15.49,,5% (VAT on Income),0.77,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,1.57,1.57,,5% (VAT on Income),0.08,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,0.81,0.81,,5% (VAT on Income),0.04,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,1.47,1.47,,5% (VAT on Income),0.07,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,2.06,2.06,,5% (VAT on Income),0.1,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,4.53,4.53,,5% (VAT on Income),0.23,,,,,,
Voisins Department Store Ltd,Gary.Ashpole@voisins.com,P.O. Box 9,King Street,,,Saint Helier,JE4 8NF,Jersey,Invoice no: 1628,,2/3/2018,1/4/2018,,,Call charges,1,0.01,0.01,211.78,5% (VAT on Income),0,10.58,222.36,,,,
Tupper Loan Company,steve@tupper.je,17 New North Quay,,,,Saint Helier,JE2 3ND,Jersey,Invoice no: 1629,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Tupper Loan Company,steve@tupper.je,17 New North Quay,,,,Saint Helier,JE2 3ND,Jersey,Invoice no: 1629,,2/3/2018,1/4/2018,,,Call charges,1,71.88,71.88,85.88,5% (VAT on Income),3.59,4.29,90.17,,,,
Good Moves Limited,sharon@goodmoves.je,Longueville Business Centre ,Longueville Road,,,St Saviour,JE2 7SA,Jersey,Invoice no: 1630,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Good Moves Limited,sharon@goodmoves.je,Longueville Business Centre ,Longueville Road,,,St Saviour,JE2 7SA,Jersey,Invoice no: 1630,,2/3/2018,1/4/2018,,,Call charges,1,8.46,8.46,22.46,5% (VAT on Income),0.42,1.12,23.58,,,,
TEAM Asset Management,MartinToudic@teamassetmanagement.com,Royal Court Chambers,10 Hill Street,,,Saint Helier,JE2 4UA,Jersey,Invoice no: 1631,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,Exempt Income,0,,,,,,
TEAM Asset Management,MartinToudic@teamassetmanagement.com,Royal Court Chambers,10 Hill Street,,,Saint Helier,JE2 4UA,Jersey,Invoice no: 1631,,2/3/2018,1/4/2018,,,Call charges,1,32.52,32.52,46.52,Exempt Income,0,0,46.52,,,,
Huelin Homes,jo@huelinhomes.com,12 The Parade,,,,Saint Helier,JE2 3QP,Jersey,Invoice no: 1632,,2/3/2018,1/4/2018,,Sip,SIP Line,2,7,14,,5% (VAT on Income),0.7,,,,,,
Huelin Homes,jo@huelinhomes.com,12 The Parade,,,,Saint Helier,JE2 3QP,Jersey,Invoice no: 1632,,2/3/2018,1/4/2018,,,Call charges,1,58.25,58.25,72.25,5% (VAT on Income),2.91,3.61,75.86,,,,
New Era Veterinary Hospital,val.pedder@neweravets.co.je,Victoria Road,,,,St Saviour,JE2 7QG,United Kingdom,Invoice no: 1633,,2/3/2018,1/4/2018,,Sip,SIP Line,6,7,42,,5% (VAT on Income),2.1,,,,,,
New Era Veterinary Hospital,val.pedder@neweravets.co.je,Victoria Road,,,,St Saviour,JE2 7QG,United Kingdom,Invoice no: 1633,,2/3/2018,1/4/2018,,,Call charges,1,403.39,403.39,445.39,5% (VAT on Income),20.17,22.27,467.66,,,,
Webreality,arlete@webreality.co.uk,La Chasse,,,,Saint Helier,JE2 4UE,Jersey,Invoice no: 1634,,2/3/2018,1/4/2018,,Sip,SIP Line,5,7,35,,5% (VAT on Income),1.75,,,,,,
Webreality,arlete@webreality.co.uk,La Chasse,,,,Saint Helier,JE2 4UE,Jersey,Invoice no: 1634,,2/3/2018,1/4/2018,,,Call charges,1,13.21,13.21,48.21,5% (VAT on Income),0.66,2.41,50.62,,,,
